nome_item	subtitle	valor_original	valor_pedido	condition	link_compra	link_imagem	link_real_imagem	availability
3 Doors Wardrobe	IKEA	249	99	Very good	https://www.ikea.com/de/de/p/songesand-kleiderschrank-weiss-90347351/	https://www.ikea.com/de/de/images/products/songesand-kleiderschrank-weiss__0555120_pe660185_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczNTGRmDD8U8E41cgZN7wdNRv9wP9q9gUfF7SMzkS5bbG8nu9SiNd-80vIwgvEBPn5X8D4Xm7A8wVPRBCk04vnuiouQ4qUn1TW0EfBUDEkRMpJuGO5UsulSZfgPuC8sRD5XwlaLpqV-tdjA9EkJzt-BuCQ=w1716-h1150-s-no-gm?authuser=0	Yes
Bed Frame	IKEA	179	79	Excellent	https://www.ikea.com/de/de/p/kleppstad-bettgestell-weiss-vissle-beige-10492672/	https://www.ikea.com/de/de/images/products/kleppstad-bettgestell-weiss-vissle-beige__1035340_pe840527_s5.jpg	https://www.ikea.com/de/de/images/products/kleppstad-bettgestell-weiss-vissle-beige__1035340_pe840527_s5.jpg	Yes
Wooden Vertical Hook	IKEA	13	5	Excellent	https://www.ikea.com/de/de/p/tjusig-aufhaenger-weiss-60291708/?openFiche=true&utm_source=google&utm_medium=surfaces&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Homeorganisation	https://www.ikea.com/de/de/images/products/tjusig-aufhaenger-weiss__0710541_pe727624_s5.jpg	https://www.ikea.com/de/de/images/products/tjusig-aufhaenger-weiss__0710541_pe727624_s5.jpg	Yes
2 Doors Cabinet	IKEA	69	30	Very good	https://www.ikea.com/de/de/p/kleppstad-schrank-mit-2-tueren-weiss-80437234/	https://www.ikea.com/de/de/images/products/kleppstad-schrank-mit-2-tueren-weiss__0733324_pe748781_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczPkaT1Ddsnku6Voqy-2A_j5PKlUUJvvzWvzCltVHUFn0GlW0DT26AaLzOCUWDfzSFKGT596PxxMsO1gxwf_lvzbKjKtdXN9WqfjWchledW5TSr_lOwJvioRA4ucvf3tfXSc6c-puJ7rO5VIXEM-I3fdgQ=w1638-h1150-s-no-gm?authuser=0	Yes
Coat Rack	IKEA	19	9	Excellent	https://www.ikea.com/de/de/p/ekrar-garderobenstaender-weiss-10415594/	https://www.ikea.com/de/de/images/products/ekrar-garderobenstaender-weiss__0710637_pe727670_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczM4UtAy48PxHkTe3Krlc_bogKqP_WnqX_YPsma_DAZxfzGsoKxGHUughQgdtsFrgVeldukSlXW8ZldKl3zGUdjj-k2PHdMZGTnGmWO5dA0pjzutA5BH7iWhyeWkMK3wpDPbPydoIPlYFfQdfSFmWqHnog=w1220-h1626-s-no-gm?authuser=0	No
White Office Chair	Amazon	127	80	Excellent	https://www.amazon.de/dp/B0899LSG8X?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/81AEnFeVZTL._AC_SX679_.jpg	https://m.media-amazon.com/images/I/81AEnFeVZTL._AC_SX679_.jpg	No
Vaccum Cleaner	Amazon	74	40	Excellent	https://www.amazon.de/dp/B018MA2NRC?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/41BEz+xQt0L._AC_SX679_.jpg	https://m.media-amazon.com/images/I/41BEz+xQt0L._AC_SX679_.jpg	No
Multifunctional Hallway Coat Rack	Amazon	39	15	Very good	https://www.amazon.de/dp/B07Z1R4MR2?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/61I5H+6KlXL._AC_SX679_.jpg	https://lh3.googleusercontent.com/pw/AP1GczO1ev9OkyH_huz2ZFCGQ6jOccOOKMaTe7jlMh-0NkBopvMkBr5Gzmf90p7a4PnhBn_Ay1-R0aZkGKr8FL6yn_C9tJGrLG4CK96TTkdOzOa_aEvzgolY0aJ36LBphfBvIj0poTIb8TjLuKL6Wqk_WDNhAw=w1220-h1626-s-no-gm?authuser=0	Yes
Dumbbell Set 2 x 2kg	Amazon	16	5	Excellent	https://www.amazon.de/dp/B09N8VQPQJ?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/61tuX-qzKES._AC_SX679_.jpg	https://lh3.googleusercontent.com/pw/AP1GczPwNKUo86CeW7mrwh_l8ZPcNg90tzeUEf4Grp1k45_gxWhz73Mvx8LhISwW2wEVAoU5WTr12MMKBWF1DVjLJYiVPF-7RxbTPYQZ35FLQ-8ViTUrApfx9DsNCWH7X9JWnOLVw3rFvZscV1UH5dymwG82eQ=w1220-h1626-s-no-gm?authuser=0	No
Dumbbell Set 2 x 4kg	Amazon	25	10	Very good	https://www.amazon.de/dp/B096M91C8C?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/61JqWuxJ3mS._AC_SX679_.jpg	https://lh3.googleusercontent.com/pw/AP1GczPwNKUo86CeW7mrwh_l8ZPcNg90tzeUEf4Grp1k45_gxWhz73Mvx8LhISwW2wEVAoU5WTr12MMKBWF1DVjLJYiVPF-7RxbTPYQZ35FLQ-8ViTUrApfx9DsNCWH7X9JWnOLVw3rFvZscV1UH5dymwG82eQ=w1220-h1626-s-no-gm?authuser=0	No
Dumbbell Set 2 x 7kg	Amazon	35	20	Excellent	https://www.amazon.de/dp/B09MJGFYH3?ref=ppx_yo2ov_dt_b_product_details&th=1&psc=1	https://m.media-amazon.com/images/I/61iQGowQwcL._AC_SX679_.jpg	https://lh3.googleusercontent.com/pw/AP1GczPwNKUo86CeW7mrwh_l8ZPcNg90tzeUEf4Grp1k45_gxWhz73Mvx8LhISwW2wEVAoU5WTr12MMKBWF1DVjLJYiVPF-7RxbTPYQZ35FLQ-8ViTUrApfx9DsNCWH7X9JWnOLVw3rFvZscV1UH5dymwG82eQ=w1220-h1626-s-no-gm?authuser=0	No
2 Dinning Room Chairs	Amazon	84	40	Very good	https://www.amazon.de/gp/product/B07D3PBB19/ref=ppx_yo_dt_b_asin_title_o07_s00?ie=UTF8&psc=1	https://m.media-amazon.com/images/I/712wXVwz3OL._AC_SX679_.jpg	https://lh3.googleusercontent.com/pw/AP1GczNtLpKhv7AFoDkRNOM42TBKPEcoJpP--ik6kAYiCXQOPDTgVbRi88SAuOFszboUrcVCxtATrxIwZq-X_IbltbGBKUjQvhiBhPsXOv8sSBNJcTSDPgLGDF7wxOyCSC8ys-N4UX3V9Bdo2G76pYQvXe8tAw=w2168-h1626-s-no-gm?authuser=0	No
Krups Nespresso Essenza Mini	Amazon	99	50	Excellent	https://www.amazon.de/dp/B06XJ3MFMN?ref=ppx_yo2ov_dt_b_product_details&th=1	https://m.media-amazon.com/images/I/61oId0FIs4L._AC_SX679_.jpg	https://m.media-amazon.com/images/I/61oId0FIs4L._AC_SX679_.jpg	Yes
Emma One Federkern Matratze 140 X 200 cm	Emma	469	150	Very good	NaN	https://eu-images.contentstack.com/v3/assets/blt167b24547e5b1906/bltd1bdd0629f4bef30/660ee26c203d2a24908629be/DE_Flip_25_(Orange)_Gallery_Hero_2_with_stiwa.png?width=1920&format=pjpg&auto=webp&quality=80&disable=upscale	https://eu-images.contentstack.com/v3/assets/blt167b24547e5b1906/bltd1bdd0629f4bef30/660ee26c203d2a24908629be/DE_Flip_25_(Orange)_Gallery_Hero_2_with_stiwa.png?width=1920&format=pjpg&auto=webp&quality=80&disable=upscale	Yes
Emma One mattress 120 X 200 cm	Emma	399	89	Very good	NaN	https://eu-images.contentstack.com/v3/assets/blt167b24547e5b1906/blt5094018595fff42a/660ee409b27e99ffb177808e/DE_One_Ma_Gallery_Hero_2.png?width=1920&format=pjpg&auto=webp&quality=80&disable=upscale	https://eu-images.contentstack.com/v3/assets/blt167b24547e5b1906/blt5094018595fff42a/660ee409b27e99ffb177808e/DE_One_Ma_Gallery_Hero_2.png?width=1920&format=pjpg&auto=webp&quality=80&disable=upscale	Yes
SIHOO Ergonomic Desk Chair	Amazon	199	99	Very good	https://www.amazon.de/-/en/gp/product/B07GNDDNMW/	https://m.media-amazon.com/images/I/61DJ4TR8FQL._AC_SL1500_.jpg	https://m.media-amazon.com/images/I/61DJ4TR8FQL._AC_SL1500_.jpg	No
Tecvance Tower Fan	Amazon	79	40	Very good	https://www.amazon.de/-/en/gp/product/B07D3RS2SF/ref=ppx_yo_dt_b_search_asin_title	https://m.media-amazon.com/images/I/81NQj5v4OFL._AC_SL1500_.jpg	https://m.media-amazon.com/images/I/81NQj5v4OFL._AC_SL1500_.jpg	No
Balter Tower Fan with Remote Control	Amazon	56	20	Very good	https://www.amazon.de/dp/B07VBFMTR3	https://m.media-amazon.com/images/I/71ySYief9JL._AC_SL1500_.jpg	https://m.media-amazon.com/images/I/71ySYief9JL._AC_SL1500_.jpg	No
Classical Guitar Starter Set 	Amazon	68	30	Excellent	https://www.amazon.de/dp/B00DVM6KUS	https://m.media-amazon.com/images/I/61P4zPNL8nL._AC_SL1500_.jpg	https://m.media-amazon.com/images/I/61P4zPNL8nL._AC_SL1500_.jpg	Yes
In'Ride 100 roller trainer	Decathlon	119	50	Very good	https://www.decathlon.de/p/rollentrainer-in-ride-100/_/R-p-14683	https://contents.mediadecathlon.com/p1222449/k$11daea243fa28beb18c72afda75d56c5/sq/rollentrainer-inride-100.jpg	https://lh3.googleusercontent.com/pw/AP1GczMY27FkiaMZsG2rwFm2M4RqKnrUhMKyVreMJPmaxVYrmYQj2vbOe5q9ODBqBqn_w16NHSHHRj1LZiMTfaor2fgiT1yvydrHn_rshmZnZpnD8MojU2sPhir0TJ48pkZkImkMBbLwIgr_41ckqhdXekfmFQ=w1174-h1558-s-no-gm?authuser=0	Yes
Elops Speed 900 + ABUS bike lock	Decathlon	(both) 509	200	Good, might need a maintenance review 	https://www.decathlon.de/p/city-bike-28-zoll-elops-speed-900-gruen/_/R-p-306287	https://contents.mediadecathlon.com/p2012603/k$7cd95d634615574bc29ea41860778eeb/sq/city-bike-28-zoll-elops-speed-900-grau.jpg	https://lh3.googleusercontent.com/pw/AP1GczOODNIrXkHtT-sZjj15u2WDqvmuDSZbwzVT7QjVMWTV5mofW1aUFFiSG3hPMoLhYevg6rEWPAmgp7TOLObG3Zeyd0LGFkQABZVfNMWxMepTn48jzzSoasMsU4siRGmsvNF_htpgtguY1qTKYkwFxGXbeA=w2070-h1558-s-no-gm?authuser=0	No
BOHO Electronic Standing desk	Boho	585	200	Excellent	https://www.boho-moebel.de/produkte/schreibtische/basic-line-mit-tischplatte-melaminharz-beschichtet?number=	https://boho-moebel.imgbolt.de/media/image/f6/ec/77/BL_Kombi_180_Wildeiche-Melamin_schwarz_01_3000x3000.jpg	https://boho-moebel.imgbolt.de/media/image/f6/ec/77/BL_Kombi_180_Wildeiche-Melamin_schwarz_01_3000x3000.jpg	No
Cuckoo Rice Cooker	Amazon	110	90	Excellent, barely used	https://www.amazon.de/-/en/CR-0631F/dp/B00D2CL37W/ref=pd_ci_mcx_mh_mcx_views_0?pd_rd_w=3NTAM&content-id=amzn1.sym.fa638c23-2702-4035-a1bf-1bacd9368336%3Aamzn1.symc.ca948091-a64d-450e-86d7-c161ca33337b&pf_rd_p=fa638c23-2702-4035-a1bf-1bacd9368336&pf_rd_r=XE8AFD1GYJSSQHJ2CE3M&pd_rd_wg=u4hmF&pd_rd_r=05dace64-b8d1-4f4d-b5ef-21b2de2fcd1a&pd_rd_i=B00D2CL37W	https://m.media-amazon.com/images/I/61pOLJRridL._AC_SX679_.jpg	https://m.media-amazon.com/images/I/61pOLJRridL._AC_SX679_.jpg	No
IKEA Standing Desk 140x80 cm	IKEA	379	200	Excellent	https://www.ikea.com/de/de/p/rodulf-schreibtisch-sitz-steh-grau-weiss-s99326170/	https://www.ikea.com/de/de/images/products/rodulf-schreibtisch-sitz-steh-grau-weiss__0799317_pe767519_s5.jpg?f=xl	https://www.ikea.com/de/de/images/products/rodulf-schreibtisch-sitz-steh-grau-weiss__0799317_pe767519_s5.jpg?f=xl	No
